"","year","term"
"2380",2002,"hip hop"
"2386",2002,"jazz"
"2410",1993,"pop"
"2418",1993,"jazz"
"2420",1993,"rock"
"2443",1993,"pop"
"2451",1993,"jazz"
"2453",1993,"rock"
"2476",1995,"pop"
"2484",1995,"jazz"
"2486",1995,"rock"
"2509",2004,"pop"
"2517",2004,"jazz"
"2519",2004,"rock"
"2525",1997,"jazz"
"2530",1997,"rock"
"2559",1997,"pop"
"2561",1997,"jazz"
"2566",1997,"rock"
"2595",1997,"pop"
"2616",2002,"pop"
"2617",2002,"rock"
"2626",2002,"indie"
"2655",2004,"pop"
"2656",2004,"rock"
"2665",2004,"indie"
"2694",2002,"pop"
"2695",2002,"rock"
"2704",2002,"indie"
"2745",1979,"rock"
"2746",1979,"indie"
"2757",1977,"jazz"
"2767",1977,"pop"
"2779",1977,"rock"
"2800",1976,"jazz"
"2810",1976,"pop"
"2822",1976,"rock"
"2843",1982,"jazz"
"2853",1982,"pop"
"2865",1982,"rock"
"2886",1998,"jazz"
"2896",1998,"pop"
"2908",1998,"rock"
"2929",1979,"jazz"
"2939",1979,"pop"
"2951",1979,"rock"
"2979",2004,"hip hop"
"2985",2004,"indie"
"3001",2004,"rock"
"3004",2004,"jazz"
"3017",2004,"hip hop"
"3023",2004,"indie"
"3039",2004,"rock"
"3042",2004,"jazz"
"3055",2004,"hip hop"
"3061",2004,"indie"
"3077",2004,"rock"
"3080",2004,"jazz"
"3093",2001,"hip hop"
"3099",2001,"indie"
"3115",2001,"rock"
"3118",2001,"jazz"
"3131",2006,"hip hop"
"3137",2006,"indie"
"3153",2006,"rock"
"3156",2006,"jazz"
"3164",1988,"jazz"
"3174",1988,"rock"
"3179",1988,"pop"
"3189",2002,"jazz"
"3199",2002,"rock"
"3204",2002,"pop"
"3214",2007,"jazz"
"3224",2007,"rock"
"3229",2007,"pop"
"3253",2006,"rock"
"3258",2006,"pop"
"3281",2002,"rock"
"3286",2002,"pop"
"3298",2004,"pop"
"3308",2003,"pop"
"3316",1988,"hip hop"
"3319",1988,"pop"
"3321",1988,"rock"
"3363",1981,"pop"
"3364",1981,"rock"
"3384",1981,"hip hop"
"3407",1979,"pop"
"3408",1979,"rock"
"3428",1979,"hip hop"
"3451",1980,"pop"
"3452",1980,"rock"
"3472",1980,"hip hop"
"3501",2000,"pop"
"3527",2007,"indie"
"3534",2007,"pop"
"3536",2007,"jazz"
"3541",2007,"rock"
"3577",2001,"pop"
"3619",1999,"pop"
"3649",2008,"jazz"
"3670",2003,"jazz"
"3699",2006,"indie"
"3703",2006,"rock"
"3712",1995,"hip hop"
"3717",1995,"rock"
"3727",2004,"hip hop"
"3732",2004,"rock"
"3742",1994,"hip hop"
"3747",1994,"rock"
"3757",1994,"hip hop"
"3762",1994,"rock"
"3772",1992,"hip hop"
"3777",1992,"rock"
"3791",2009,"hip hop"
"3796",2009,"rock"
"3805",2009,"indie"
"3816",2005,"indie"
"3820",2005,"rock"
"3822",2005,"hip hop"
"3828",2005,"pop"
"3830",2008,"indie"
"3834",2008,"rock"
"3836",2008,"hip hop"
"3842",2008,"pop"
"3844",2005,"indie"
"3848",2005,"rock"
"3850",2005,"hip hop"
"3856",2005,"pop"
"3858",2003,"indie"
"3862",2003,"rock"
"3864",2003,"hip hop"
"3870",2003,"pop"
"3872",2006,"indie"
"3876",2006,"rock"
"3878",2006,"hip hop"
"3884",2006,"pop"
"3902",1996,"pop"
"3903",1996,"rock"
"3919",1996,"hip hop"
"3937",1999,"indie"
"3949",2000,"indie"
"3960",1998,"jazz"
"3962",1998,"rock"
"3973",1998,"indie"
"3974",1998,"hip hop"
"3978",1998,"pop"
"4012",2003,"rock"
"4025",2003,"pop"
"4028",2003,"jazz"
"4029",2003,"indie"
"4032",2003,"hip hop"
"4042",1986,"pop"
"4065",1986,"rock"
"4079",1995,"pop"
"4090",1995,"rock"
"4103",2001,"indie"
"4104",2001,"rock"
"4113",2001,"pop"
"4128",1999,"rock"
"4143",1992,"rock"
"4158",2001,"rock"
"4173",1999,"rock"
"4188",2002,"rock"
"4203",2007,"rock"
"4218",2004,"rock"
"4223",2007,"hip hop"
"4231",2007,"rock"
"4245",1993,"pop"
"4274",1993,"pop"
"4294",1977,"pop"
"4319",1977,"jazz"
"4328",1977,"pop"
"4353",1977,"jazz"
"4377",1982,"jazz"
"4385",1982,"hip hop"
"4388",1982,"pop"
"4399",1990,"pop"
"4418",1990,"rock"
"4431",1976,"pop"
"4450",1976,"rock"
"4463",1976,"pop"
"4482",1976,"rock"
"4495",1992,"pop"
"4514",1992,"rock"
"4531",2002,"hip hop"
"4546",2002,"pop"
"4549",2002,"jazz"
"4556",2002,"rock"
"4566",2000,"hip hop"
"4581",2000,"pop"
"4584",2000,"jazz"
"4591",2000,"rock"
"4601",2002,"hip hop"
"4616",2002,"pop"
"4619",2002,"jazz"
"4626",2002,"rock"
"4636",2002,"hip hop"
"4651",2002,"pop"
"4654",2002,"jazz"
"4661",2002,"rock"
"4671",2000,"hip hop"
"4686",2000,"pop"
"4689",2000,"jazz"
"4696",2000,"rock"
"4702",1995,"rock"
"4705",1995,"pop"
"4718",1995,"indie"
"4724",1995,"hip hop"
"4736",1976,"pop"
"4747",1976,"rock"
"4754",1996,"pop"
"4756",1996,"rock"
"4788",1996,"hip hop"
"4790",1996,"jazz"
"4802",1998,"pop"
"4804",1998,"rock"
"4836",1998,"hip hop"
"4838",1998,"jazz"
"4845",1980,"jazz"
"4846",1980,"rock"
"4858",1980,"indie"
"4868",1980,"pop"
"4884",1977,"jazz"
"4885",1977,"rock"
"4897",1977,"indie"
"4907",1977,"pop"
"4923",1971,"jazz"
"4924",1971,"rock"
"4936",1971,"indie"
"4946",1971,"pop"
"4962",1992,"jazz"
"4963",1992,"rock"
"4975",1992,"indie"
"4985",1992,"pop"
"5001",2003,"jazz"
"5002",2003,"rock"
"5014",2003,"indie"
"5024",2003,"pop"
"5057",2007,"rock"
"5098",2002,"rock"
"5144",2000,"rock"
"5190",2000,"rock"
"5236",2002,"rock"
"5283",2000,"rock"
"5302",2000,"jazz"
"5304",2000,"hip hop"
"5305",2000,"indie"
"5318",1997,"rock"
"5337",1997,"jazz"
"5339",1997,"hip hop"
"5340",1997,"indie"
"5347",2008,"rock"
"5354",2008,"pop"
"5356",2008,"indie"
"5360",2007,"rock"
"5367",2007,"pop"
"5369",2007,"indie"
"5376",2004,"hip hop"
"5377",2004,"indie"
"5398",2004,"pop"
"5400",2004,"jazz"
"5404",1960,"hip hop"
"5407",1960,"jazz"
"5413",1960,"pop"
"5417",1960,"rock"
"5448",1995,"hip hop"
"5451",1995,"jazz"
"5457",1995,"pop"
"5461",1995,"rock"
"5500",1980,"rock"
"5510",1980,"indie"
"5512",1980,"pop"
"5526",2008,"rock"
"5536",2008,"indie"
"5538",2008,"pop"
"5552",1978,"rock"
"5562",1978,"indie"
"5564",1978,"pop"
"5568",2009,"pop"
"5575",2009,"indie"
"5582",2009,"rock"
"5584",2005,"pop"
"5593",2005,"rock"
"5596",2006,"pop"
"5605",2006,"rock"
"5608",2006,"pop"
"5617",2006,"rock"
"5620",2006,"pop"
"5629",2006,"rock"
"5632",2006,"pop"
"5641",2006,"rock"
"5644",2005,"pop"
"5653",2005,"rock"
"5668",1995,"pop"
"5683",1995,"jazz"
"5685",1995,"rock"
"5698",1979,"pop"
"5713",1979,"jazz"
"5715",1979,"rock"
"5728",1982,"pop"
"5743",1982,"jazz"
"5745",1982,"rock"
"5758",1990,"pop"
"5773",1990,"jazz"
"5775",1990,"rock"
"5788",1980,"pop"
"5803",1980,"jazz"
"5805",1980,"rock"
"5811",1998,"pop"
"5823",1998,"rock"
"5829",1999,"pop"
"5841",1999,"rock"
"5847",2006,"pop"
"5859",2006,"rock"
"5869",2001,"rock"
"5871",2001,"pop"
"5872",2001,"jazz"
"5885",2006,"indie"
"5886",2006,"pop"
"5895",2006,"rock"
"5917",2006,"indie"
"5918",2006,"pop"
"5927",2006,"rock"
"5949",2006,"indie"
"5950",2006,"pop"
"5959",2006,"rock"
"5985",1993,"rock"
"5993",1993,"pop"
"6000",1993,"hip hop"
"6008",1993,"jazz"
"6015",1993,"indie"
"6028",1974,"rock"
"6036",1974,"pop"
"6043",1974,"hip hop"
"6051",1974,"jazz"
"6058",1974,"indie"
"6071",1991,"rock"
"6079",1991,"pop"
"6086",1991,"hip hop"
"6094",1991,"jazz"
"6101",1991,"indie"
"6114",1993,"rock"
"6122",1993,"pop"
"6129",1993,"hip hop"
"6137",1993,"jazz"
"6144",1993,"indie"
"6157",1993,"rock"
"6165",1993,"pop"
"6172",1993,"hip hop"
"6180",1993,"jazz"
"6187",1993,"indie"
"6200",1987,"rock"
"6208",1987,"pop"
"6215",1987,"hip hop"
"6223",1987,"jazz"
"6230",1987,"indie"
"6243",1974,"rock"
"6251",1974,"pop"
"6258",1974,"hip hop"
"6266",1974,"jazz"
"6273",1974,"indie"
"6286",1979,"rock"
"6294",1979,"pop"
"6301",1979,"hip hop"
"6309",1979,"jazz"
"6316",1979,"indie"
"6329",1993,"rock"
"6337",1993,"pop"
"6344",1993,"hip hop"
"6352",1993,"jazz"
"6359",1993,"indie"
"6372",1988,"rock"
"6380",1988,"pop"
"6387",1988,"hip hop"
"6395",1988,"jazz"
"6402",1988,"indie"
"6415",1989,"rock"
"6423",1989,"pop"
"6430",1989,"hip hop"
"6438",1989,"jazz"
"6445",1989,"indie"
"6470",1997,"rock"
"6487",1979,"hip hop"
"6488",1979,"rock"
"6499",1982,"hip hop"
"6500",1982,"rock"
"6511",1980,"hip hop"
"6512",1980,"rock"
"6523",1985,"hip hop"
"6524",1985,"rock"
"6535",1977,"hip hop"
"6536",1977,"rock"
"6552",1967,"rock"
"6566",1967,"pop"
"6583",1967,"rock"
"6597",1967,"pop"
"6614",1956,"rock"
"6628",1956,"pop"
"6647",2008,"hip hop"
"6654",2007,"jazz"
"6662",2007,"hip hop"
"6664",2007,"pop"
"6686",2007,"rock"
"6691",2007,"jazz"
"6699",2007,"hip hop"
"6701",2007,"pop"
"6723",2007,"rock"
"6728",1974,"jazz"
"6736",1974,"hip hop"
"6738",1974,"pop"
"6760",1974,"rock"
"6768",2007,"rock"
"6771",2007,"hip hop"
"6783",2001,"pop"
"6787",2001,"rock"
"6799",2006,"rock"
"6811",2006,"pop"
"6825",2006,"indie"
"6836",2006,"rock"
"6848",2006,"pop"
"6862",2006,"indie"
"6880",2009,"pop"
"6881",2009,"rock"
"6915",2006,"indie"
"6919",2006,"pop"
"6932",2006,"rock"
"6959",2005,"rock"
"6980",2005,"pop"
"6988",2005,"hip hop"
"6996",2005,"indie"
"7001",2009,"indie"
"7003",2009,"rock"
"7014",2009,"pop"
"7020",2006,"indie"
"7022",2006,"rock"
"7033",2006,"pop"
"7043",1991,"rock"
"7059",1991,"pop"
"7061",1991,"jazz"
"7079",1987,"rock"
"7095",1987,"pop"
"7097",1987,"jazz"
"7115",1995,"rock"
"7131",1995,"pop"
"7133",1995,"jazz"
"7151",2007,"rock"
"7167",2007,"pop"
"7169",2007,"jazz"
"7260",1993,"pop"
"7290",1995,"pop"
"7320",1995,"pop"
"7331",1990,"pop"
"7341",1990,"rock"
"7360",2003,"rock"
"7364",2003,"pop"
"7390",1982,"rock"
"7394",1982,"pop"
"7420",1971,"rock"
"7424",1971,"pop"
"7450",1971,"rock"
"7454",1971,"pop"
"7480",1982,"rock"
"7484",1982,"pop"
"7519",1992,"rock"
"7526",1992,"pop"
"7549",1992,"hip hop"
"7553",1979,"rock"
"7564",1979,"jazz"
"7577",2008,"rock"
"7588",2008,"jazz"
"7601",2006,"pop"
"7615",2005,"jazz"
"7624",2005,"rock"
"7628",2005,"jazz"
"7637",2005,"rock"
"7641",2005,"jazz"
"7650",2005,"rock"
"7654",2000,"jazz"
"7656",2000,"rock"
"7662",2000,"hip hop"
"7667",2000,"indie"
"7673",2000,"pop"
"7685",1994,"jazz"
"7687",1994,"rock"
"7693",1994,"hip hop"
"7698",1994,"indie"
"7704",1994,"pop"
"7716",1995,"jazz"
"7718",1995,"rock"
"7724",1995,"hip hop"
"7729",1995,"indie"
"7735",1995,"pop"
"7761",2008,"pop"
"7791",1991,"pop"
"7821",2002,"pop"
"7851",1992,"pop"
"7868",2000,"rock"
"7893",2003,"hip hop"
"7896",2003,"pop"
"7909",2003,"rock"
"7921",2003,"indie"
"7946",2001,"rock"
"7971",1998,"rock"
"7996",1998,"rock"
"8013",2001,"rock"
"8081",1994,"rock"
"8088",2005,"jazz"
"8091",2005,"rock"
"8097",2005,"hip hop"
"8118",1967,"pop"
"8142",1967,"jazz"
"8152",1998,"pop"
"8176",1998,"jazz"
"8186",2008,"rock"
"8187",2008,"hip hop"
"8192",2008,"pop"
"8195",2009,"hip hop"
"8211",2009,"pop"
"8216",2009,"rock"
"8220",2009,"hip hop"
"8236",2009,"pop"
"8241",2009,"rock"
"8248",2001,"rock"
"8282",2005,"pop"
"8294",2005,"rock"
"8305",2005,"pop"
"8317",2005,"rock"
"8328",2005,"pop"
"8340",2005,"rock"
"8359",1995,"indie"
"8360",1995,"jazz"
"8362",1995,"pop"
"8390",1995,"indie"
"8391",1995,"jazz"
"8393",1995,"pop"
"8421",1959,"indie"
"8422",1959,"jazz"
"8424",1959,"pop"
"8452",1975,"indie"
"8453",1975,"jazz"
"8455",1975,"pop"
"8483",1963,"indie"
"8484",1963,"jazz"
"8486",1963,"pop"
"8529",2004,"rock"
"8532",2004,"indie"
"8536",2004,"pop"
"8558",2005,"hip hop"
"8563",2003,"rock"
"8567",2003,"jazz"
"8591",1999,"rock"
"8611",2009,"rock"
"8631",2000,"rock"
"8651",2002,"rock"
"8671",2002,"rock"
"8691",2004,"rock"
"8711",2000,"rock"
"8742",2001,"pop"
"8744",2001,"indie"
"8750",2001,"rock"
"8751",2001,"jazz"
"8780",1987,"pop"
"8782",1987,"indie"
"8788",1987,"rock"
"8789",1987,"jazz"
"8820",2006,"pop"
"8823",2004,"pop"
"8825",2004,"rock"
"8840",2004,"hip hop"
"8841",2004,"jazz"
"8863",2000,"hip hop"
"8864",2000,"rock"
"8882",1964,"indie"
"8889",1964,"rock"
"8905",1964,"jazz"
"8907",1964,"pop"
"8921",1964,"indie"
"8928",1964,"rock"
"8944",1964,"jazz"
"8946",1964,"pop"
"8960",1964,"indie"
"8967",1964,"rock"
"8983",1964,"jazz"
"8985",1964,"pop"
"8996",1996,"rock"
"9020",1996,"hip hop"
"9021",1996,"indie"
"9022",1996,"pop"
"9025",2004,"rock"
"9031",2004,"pop"
"9046",2001,"rock"
"9052",2001,"pop"
"9067",2001,"rock"
"9073",2001,"pop"
"9091",1995,"jazz"
"9101",1995,"pop"
"9104",1995,"rock"
"9135",1995,"indie"
"9142",1999,"rock"
"9151",1999,"indie"
"9164",1999,"pop"
"9174",1999,"rock"
"9183",1999,"indie"
"9196",1999,"pop"
"9217",2007,"hip hop"
"9231",2007,"hip hop"
"9243",1973,"rock"
"9249",1981,"rock"
"9265",1981,"pop"
"9289",1999,"rock"
"9305",1999,"pop"
"9335",2004,"pop"
"9338",2004,"indie"
"9339",2004,"hip hop"
"9345",2004,"rock"
"9379",1992,"jazz"
"9381",1992,"rock"
"9391",1992,"hip hop"
"9425",2002,"jazz"
"9427",2002,"rock"
"9437",2002,"hip hop"
"9465",2000,"rock"
"9475",2000,"pop"
"9484",2000,"jazz"
"9490",2004,"pop"
"9491",2004,"indie"
"9507",2004,"rock"
"9517",2001,"pop"
"9518",2001,"indie"
"9534",2001,"rock"
"9544",2005,"pop"
"9545",2005,"indie"
"9561",2005,"rock"
"9571",1999,"pop"
"9572",1999,"indie"
"9588",1999,"rock"
"9632",1999,"rock"
"9650",2002,"jazz"
"9666",1999,"pop"
"9668",1999,"jazz"
"9686",1999,"indie"
"9698",1999,"rock"
"9704",2004,"pop"
"9729",2004,"hip hop"
"9732",2004,"jazz"
"9742",2004,"rock"
"9750",1999,"pop"
"9775",1999,"hip hop"
"9778",1999,"jazz"
"9788",1999,"rock"
"9803",2008,"rock"
"9808",2008,"pop"
"9868",2002,"pop"
"9882",1999,"pop"
"9896",1993,"pop"
"9910",2002,"pop"
"9922",2008,"rock"
"9928",2008,"pop"
"9939",2008,"indie"
"9953",2008,"jazz"
"9964",2004,"hip hop"
"9982",2003,"hip hop"
"10000",1999,"hip hop"
"10023",2007,"hip hop"
"10030",2007,"rock"
"10036",2007,"indie"
"10048",2004,"hip hop"
"10055",2004,"rock"
"10061",2004,"indie"
"10068",2004,"pop"
"10069",2004,"rock"
"10079",2005,"pop"
"10080",2005,"rock"
"10090",2004,"pop"
"10091",2004,"rock"
"10103",1988,"jazz"
"10113",2002,"pop"
"10126",2002,"hip hop"
"10134",2002,"jazz"
"10142",2002,"pop"
"10155",2002,"hip hop"
"10163",2002,"jazz"
"10171",2002,"pop"
"10184",2002,"hip hop"
"10192",2002,"jazz"
"10200",2005,"pop"
"10213",2005,"hip hop"
"10221",2005,"jazz"
"10229",2005,"pop"
"10242",2005,"hip hop"
"10250",2005,"jazz"
"10258",2002,"pop"
"10271",2002,"hip hop"
"10279",2002,"jazz"
"10287",1993,"rock"
"10301",1993,"pop"
"10314",1993,"rock"
"10328",1993,"pop"
"10341",1998,"rock"
"10355",1998,"pop"
"10368",1995,"rock"
"10382",1995,"pop"
"10395",1995,"rock"
"10409",1995,"pop"
"10423",1998,"jazz"
"10429",1998,"hip hop"
"10435",1998,"jazz"
"10441",1998,"hip hop"
"10447",1995,"jazz"
"10453",1995,"hip hop"
"10461",2006,"rock"
"10469",2006,"hip hop"
"10470",2006,"pop"
"10481",2006,"rock"
"10489",2006,"hip hop"
"10490",2006,"pop"
"10500",2002,"rock"
"10502",2002,"jazz"
"10503",2002,"hip hop"
"10527",2002,"pop"
"10528",2002,"indie"
"10541",2005,"rock"
"10543",2005,"jazz"
"10544",2005,"hip hop"
"10568",2005,"pop"
"10569",2005,"indie"
"10582",2007,"rock"
"10584",2007,"jazz"
"10585",2007,"hip hop"
"10609",2007,"pop"
"10610",2007,"indie"
"10636",1990,"jazz"
"10644",1990,"rock"
"10669",1997,"jazz"
"10677",1997,"rock"
"10702",1989,"jazz"
"10710",1989,"rock"
"10735",1989,"jazz"
"10743",1989,"rock"
"10768",1995,"jazz"
"10776",1995,"rock"
"10801",1990,"jazz"
"10809",1990,"rock"
"10834",1995,"jazz"
"10842",1995,"rock"
"10869",2003,"jazz"
"10876",2003,"rock"
"10882",2003,"pop"
"10899",1970,"jazz"
"10906",1970,"rock"
"10912",1970,"pop"
"10929",1996,"jazz"
"10936",1996,"rock"
"10942",1996,"pop"
"10959",1970,"jazz"
"10966",1970,"rock"
"10972",1970,"pop"
"10988",2009,"pop"
"10989",2009,"rock"
"11005",1996,"pop"
"11006",1996,"indie"
"11012",1996,"rock"
"11017",1996,"jazz"
"11028",2001,"pop"
"11029",2001,"indie"
"11035",2001,"rock"
"11040",2001,"jazz"
"11076",2002,"pop"
"11086",2002,"rock"
"11100",2007,"rock"
"11130",1998,"rock"
"11138",1993,"jazz"
"11141",1993,"rock"
"11155",1993,"pop"
"11187",2010,"rock"
"11222",1971,"jazz"
"11224",1971,"pop"
"11230",1971,"rock"
"11252",1972,"jazz"
"11254",1972,"pop"
"11260",1972,"rock"
"11266",2007,"rock"
"11301",2007,"indie"
"11310",2007,"rock"
"11345",2007,"indie"
"11354",2007,"rock"
"11389",2007,"indie"
"11415",1997,"rock"
"11419",1994,"hip hop"
"11436",1994,"rock"
"11461",1994,"jazz"
"11464",1995,"hip hop"
"11481",1995,"rock"
"11506",1995,"jazz"
"11509",1994,"hip hop"
"11526",1994,"rock"
"11551",1994,"jazz"
"11554",1995,"hip hop"
"11571",1995,"rock"
"11596",1995,"jazz"
"11616",2003,"rock"
"11661",1998,"rock"
"11717",2007,"rock"
"11721",2007,"pop"
"11753",2009,"rock"
"11757",2009,"pop"
"11788",2004,"indie"
"11811",2004,"rock"
"11828",2009,"pop"
"11831",2009,"rock"
"11839",2009,"pop"
"11842",2009,"rock"
"11850",2006,"pop"
"11853",2006,"rock"
"11861",2006,"pop"
"11864",2006,"rock"
"11910",1999,"pop"
"11931",1999,"rock"
"11940",2008,"pop"
"11961",2008,"rock"
"11970",2001,"pop"
"11991",2001,"rock"
"11997",2008,"jazz"
"12027",2003,"jazz"
"12059",1973,"rock"
"12080",1973,"jazz"
"12101",1973,"rock"
"12122",1973,"jazz"
"12149",2002,"rock"
"12150",2002,"pop"
"12152",2002,"jazz"
"12165",2007,"rock"
"12166",2007,"pop"
"12168",2007,"jazz"
"12183",1992,"hip hop"
"12189",1992,"pop"
"12198",1993,"indie"
"12205",1993,"pop"
"12219",1993,"rock"
"12231",1990,"indie"
"12238",1990,"pop"
"12252",1990,"rock"
"12264",1989,"indie"
"12271",1989,"pop"
"12285",1989,"rock"
"12311",1995,"indie"
"12313",1995,"rock"
"12317",1995,"pop"
"12342",1991,"indie"
"12344",1991,"rock"
"12348",1991,"pop"
"12373",2001,"indie"
"12375",2001,"rock"
"12379",2001,"pop"
"12388",2005,"pop"
"12398",2005,"rock"
"12402",2005,"pop"
"12412",2005,"rock"
"12438",2003,"rock"
"12441",2003,"pop"
"12446",2003,"indie"
"12470",2000,"rock"
"12473",2000,"pop"
"12478",2000,"indie"
"12485",2004,"rock"
"12511",2002,"rock"
"12537",2010,"pop"
"12547",2010,"indie"
"12554",2010,"rock"
"12560",1998,"indie"
"12561",1998,"hip hop"
"12566",1998,"jazz"
"12570",1998,"pop"
"12587",1998,"indie"
"12588",1998,"hip hop"
"12593",1998,"jazz"
"12597",1998,"pop"
"12614",1998,"indie"
"12615",1998,"hip hop"
"12620",1998,"jazz"
"12624",1998,"pop"
"12755",2006,"jazz"
"12761",2007,"indie"
"12771",2007,"rock"
"12799",2000,"pop"
"12815",2000,"indie"
"12821",2000,"rock"
"12823",2000,"hip hop"
"12851",1984,"pop"
"12876",1987,"pop"
"12901",1979,"pop"
"12926",1982,"pop"
"12941",2003,"pop"
"12950",2003,"rock"
"12953",2003,"jazz"
"12966",2000,"pop"
"12975",2000,"rock"
"12978",2000,"jazz"
"12991",2005,"pop"
"13000",2005,"rock"
"13003",2005,"jazz"
"13016",2005,"pop"
"13025",2005,"rock"
"13028",2005,"jazz"
"13040",1999,"pop"
"13042",1999,"rock"
"13077",2002,"pop"
"13079",2002,"rock"
"13114",2002,"pop"
"13116",2002,"rock"
"13163",2004,"hip hop"
"13173",2004,"rock"
"13177",2004,"indie"
"13180",2004,"jazz"
"13207",2008,"hip hop"
"13217",2008,"rock"
"13221",2008,"indie"
"13224",2008,"jazz"
"13244",1989,"jazz"
"13250",1989,"pop"
"13251",1989,"indie"
"13253",1989,"rock"
"13263",1989,"hip hop"
"13281",1994,"jazz"
"13287",1994,"pop"
"13288",1994,"indie"
"13290",1994,"rock"
"13300",1994,"hip hop"
"13318",1989,"jazz"
"13324",1989,"pop"
"13325",1989,"indie"
"13327",1989,"rock"
"13337",1989,"hip hop"
"13355",1992,"jazz"
"13361",1992,"pop"
"13362",1992,"indie"
"13364",1992,"rock"
"13374",1992,"hip hop"
"13392",1992,"jazz"
"13398",1992,"pop"
"13399",1992,"indie"
"13401",1992,"rock"
"13411",1992,"hip hop"
"13417",2005,"indie"
"13418",2005,"rock"
"13424",2005,"jazz"
"13429",2001,"rock"
"13441",2001,"pop"
"13450",1989,"rock"
"13462",1989,"pop"
"13471",1987,"rock"
"13483",1987,"pop"
"13504",1999,"pop"
